area_code,area,iso3c,exiobase_area,exiobase_id,exiobase_code
60,El Salvador,SLV,RoW America,45,WL
63,Estonia,EST,Estonia,8,EE
66,Fiji,FJI,RoW Asia and Pacific,44,WA
67,Finland,FIN,Finland,10,FI
68,France,FRA,France,11,FR
70,French Polynesia,PYF,RoW Asia and Pacific,44,WA
72,Djibouti,DJI,RoW Africa,47,WF
73,Georgia,GEO,RoW Asia and Pacific,44,WA
74,Gabon,GAB,RoW Africa,47,WF
75,Gambia,GMB,RoW Africa,47,WF
79,Germany,DEU,Germany,6,DE
80,Bosnia and Herzegovina,BIH,RoW Europe,46,WE
81,Ghana,GHA,RoW Africa,47,WF
83,Kiribati,KIR,RoW Asia and Pacific,44,WA
84,Greece,GRC,Greece,12,GR
86,Grenada,GRD,RoW America,45,WL
89,Guatemala,GTM,RoW America,45,WL
90,Guinea,GIN,RoW Africa,47,WF
